,SMILES,BDE
24-1-niii-cf3.log,FC(F)(F)[Ni]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2ccccc2-c2ccccc2[P]1(c1ccccc1)c1ccccc1,50.6
30-2-niii-cf3.log,C[P]1(C)c2ccc3cccc(c3c2)-c2cccc3ccc(cc23)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,50.6
43-4-niii-cf3.log,FC(F)(F)[Ni@TB16]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(C1CCCCC1)C1CCCCC1,50.6
55-1-niii-cf3.log,Cc1ccc(N2[C]3CCCC[C]3N(c3ccc(C)cc3)[Ni@SP3]2(C(F)(F)F)C(F)(F)F)cc1,50.5
6-4-niii-cf3.log,C[C@H]1C[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Ni](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,50.5
28-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P]1(c1ccccc1)c1ccccc1,50.3
23-2-niii-cf3.log,C[P]1(C)c2cccc3c2Oc2c(cccc2[P](C)(C)[Ni@TB5]1(C(F)(F)F)C(F)(F)F)C3,50.2
26-1-niii-cf3.log,FC(F)(F)[Ni]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cccc3c2-c2c(cccc2[P]1(c1ccccc1)c1ccccc1)OCO3,50.2
44-1-niii-cf3.log,FC(F)(F)[Ni@SP3]1(C(F)(F)F)N2CCO[C]2Cc2ccccc2[P]1(c1ccccc1)c1ccccc1,50.2
20-4-niii-cf3.log,FC(F)(F)[Ni@TB7]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)[C@@H]2COCC[C@@H]2[P]1(C1CCCCC1)C1CCCCC1,50.1
37-1-niii-cf3.log,C[C@H]1c2ccccc2[P@@]2(c3ccccc3)N1CCN1[C@@H](C)c3ccccc3[P@]1(c1ccccc1)[Ni@TB16]2(C(F)(F)F)C(F)(F)F,50.1
41-5-niii-cf3.log,FC(F)(F)[Ni@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(n1cccc1)n1cccc1)c32)C(F)(F)F,50.1
42-1-niii-cf3.log,FC(F)(F)[Ni@SP1]1(<-Nc2cccc3c2[C@@]2(CCc4cccc(C[P]1(c1ccccc1)c1ccccc1)c42)CC3)C(F)(F)F,50.1
51-5-niii-cf3.log,FC(F)(F)[Ni@SP1]1(C(F)(F)F)N2[C](OC=C2c2ccccc2)c2cccc3cc4cccc(c4cc23)[C]2OC=C(c3ccccc3)N21,50
